oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
562113100004843,62047600,2458374.975035781,58374.4760069,13.5066309,0.0110955387,0,zg,91.8824478,22.3575387,0.31099999,-0.00400000019,20180913476007,562,0xd,0x1,20.8099995,26.126297,0.0217140131,-0.0487893336,5.65016762e-06,30,1.29999995,1
562113100004843,62147650,2458375.9756308007,58375.4765046,13.5245924,0.0111112855,0,zg,91.8824455,22.3575438,1.671,-0.00899999961,20180914476493,562,0xd,0x1,21.1599998,26.143507,0.0188943762,-0.0631500185,4.28236763e-06,30,1.28299999,1
562113100004843,62248608,2458376.9853127133,58376.486088,13.5145292,0.011102451,0,zg,91.8824469,22.3575367,0.51700002,0.00200000009,20180915486076,562,0xd,0x1,21.3700008,26.1163635,0.0191232599,-0.0460685976,4.37430572e-06,30,1.22399998,1
562113100004843,62351701,2458378.016339501,58377.5170139,13.9981413,0.0115678133,0,zg,91.8824588,22.357531,0.999000013,-0.0469999984,20180916517014,562,0xd,0x1,21.1000004,26.1350746,0.020731682,-0.0547070839,5.14248086e-06,30,1.11000001,1
562113100004843,62448608,2458378.9855086287,58378.486088,13.5016737,0.0110912109,0,zg,91.8824665,22.3575368,0.451999992,-0.0299999993,20180917486076,562,0xd,0x1,21.0900002,26.1334782,0.0203885138,-0.0485800281,5.02160083e-06,30,1.20099998,1
562113100004843,62549638,2458379.995908841,58379.4963889,13.5347366,0.0111202225,0,zg,91.8824365,22.3575436,1.23800004,-0.0329999998,20180918496377,562,0xd,0x1,21.2099991,26.1645069,0.0184335392,-0.0623578914,4.04962748e-06,30,1.15400004,1
562113100004843,62650495,2458381.004572964,58380.5049537,13.5445013,0.0111288549,0,zg,91.8824296,22.3575243,0.739000022,0.0170000009,20180919504942,562,0xd,0x1,21.2600002,26.195919,0.0194777679,-0.0862319842,4.6457867e-06,30,1.12,1
562113100004843,62847859,2458382.9784135222,58382.4785995,13.499795,0.0110895718,0,zg,91.8824529,22.3575314,0.414999992,-0.0309999995,20180921478600,562,0xd,0x1,21.3099995,26.1356544,0.0194401685,-0.0571678281,4.60914953e-06,30,1.18700004,1
562113100004843,62948476,2458383.9846819867,58383.4847685,13.5415564,0.0111262491,0,zg,91.8824592,22.3575441,1.42400002,-0.0120000001,20180922484757,562,0xd,0x1,21.2099991,26.08601,0.0211446993,-0.0346287526,5.47533273e-06,30,1.15600002,1
562113100004843,63040731,2458384.907319479,58384.4073148,13.4795361,0.0110719707,0,zg,91.88245730000001,22.3575285,0.646000028,-0.0390000008,20180923407315,562,0xd,0x1,19.9400005,25.9430656,0.0298745316,-0.0299915392,1.07405103e-05,30,1.62899995,1
