time,flux,flux_err,cadenceno,sap_flux,kspsap_flux,kspsap_flux_err,quality,orbitid,sap_x,sap_y,sap_bkg,sap_bkg_err,kspsap_flux_sml,kspsap_flux_lag
2500.422016595696,0.99821126,0.0029075686,183306,1.0077189,0.99821126,0.0029075686,4096,0,292.44165,381.1316,6919.95,939.39,0.99785364,0.99729896
2500.4289617225545,0.9974516,0.0029075686,183307,1.0069419,0.9974516,0.0029075686,4096,0,292.4422,381.12976,6483.35,682.75,0.9989932,0.9955996
2500.435906849411,1.0008916,0.0029075686,183308,1.010414,1.0008916,0.0029075686,4096,0,292.44284,381.1319,5870.46,878.39,1.0004588,1.001289
2500.442851976268,1.0028429,0.0029075686,183309,1.0123924,1.0028429,0.0029075686,4096,0,292.44238,381.13446,5250.14,958.78,1.0003772,1.0052463
2500.449797103125,1.0009168,0.0029075686,183310,1.0104654,1.0009168,0.0029075686,4096,0,292.44354,381.1369,4902.9,878.33,0.9986188,1.0025388
2500.456742229982,0.9951069,0.0029075686,183311,1.0046257,0.9951069,0.0029075686,4096,0,292.4427,381.1349,5098.9,949.85,0.99711,0.99362993
2500.4636873569625,1.008298,0.0029075686,183312,1.0179772,1.008298,0.0029075686,4096,0,292.44037,381.1341,4040.18,1176.74,1.0033531,1.0127214
2500.4706324840618,0.9963591,0.0029075686,183313,1.0059654,0.9963591,0.0029075686,4096,0,292.4419,381.13904,4245.97,863.01,0.997654,0.995948
2500.4775776111587,1.0032027,0.0029075686,183314,1.0129244,1.0032027,0.0029075686,4096,0,292.44324,381.13834,3660.76,1019.71,1.0027704,1.00447
2500.484522738257,0.9980097,0.0029075686,183315,1.0077375,0.9980097,0.0029075686,4096,0,292.44244,381.13925,3247.54,851.79,0.99948657,0.9972267
2500.491467865353,1.0017185,0.0029075686,183316,1.011546,1.0017185,0.0029075686,6144,0,292.44107,381.13815,2950.68,591.64,1.0001888,1.0029368
2500.4984129924505,1.0026397,0.0029075686,183317,1.0125463,1.0026397,0.0029075686,4096,0,292.44272,381.13925,2481.74,1039.36,1.0007366,1.0035942
2500.5053581196294,0.99559027,0.0029075686,183318,1.0055032,0.99559027,0.0029075686,4096,0,292.44238,381.1411,2433.21,1018.64,0.99693674,0.9949047
2500.512303246881,1.0038834,0.0029075686,183319,1.0139612,1.0038834,0.0029075686,4096,0,292.4417,381.14264,2240.02,953.54,1.0018153,1.0045952
2500.519248374133,1.0035595,0.0029075686,183320,1.0137221,1.0035595,0.0029075686,4096,0,292.44086,381.13947,1994.02,971.93,1.0022967,1.0040239
2500.5261935013864,1.0060798,0.0029075686,183321,1.0163615,1.0060798,0.0029075686,4096,0,292.44385,381.14313,1600.75,1001.16,1.0027426,1.0092449
2500.5331386286393,1.005899,0.0029075686,183322,1.0162771,1.005899,0.0029075686,4096,0,292.44348,381.1435,1425.04,982.75,1.0023754,1.0094908
2500.540083755892,1.0024203,0.0029075686,183323,1.0128653,1.0024203,0.0029075686,4096,0,292.44254,381.14215,1528.52,832.15,1.001273,1.0041143
2500.547028883185,1.0030018,0.0029075686,183324,1.0135599,1.0030018,0.0029075686,4096,0,292.43942,381.14337,1770.74,1023.63,1.0032572,1.0031452
2500.553974010515,1.001205,0.0029075686,183325,1.0118551,1.001205,0.0029075686,4096,0,292.43994,381.142,1530.64,793.72,1.0013685,1.0003428
2500.5609191378476,1.0046057,0.0029075686,183326,1.0154068,1.0046057,0.0029075686,4096,0,292.44092,381.14618,1386.23,915.15,1.0018588,1.0055529
2500.56786426518,0.9984333,0.0029075686,183327,1.0092857,0.9984333,0.0029075686,4096,0,292.44272,381.1449,1592.4,959.87,1.0005007,0.9962907
2500.574809392511,1.0045363,0.0029075686,183328,1.0155761,1.0045363,0.0029075686,4096,0,292.44073,381.14438,1387.55,995.6,1.0033722,1.0047011
2500.581754519844,1.0032643,0.0029075686,183329,1.0144141,1.0032643,0.0029075686,4096,0,292.44217,381.14642,1009.46,925.15,1.0012461,1.0049218
2500.5886996471813,1.0031233,0.0029075686,183330,1.0143975,1.0031233,0.0029075686,4096,0,292.44205,381.14328,1109.09,961.18,1.0027884,1.0027429
2500.595644774529,0.99851805,0.0029075686,183331,1.0098681,0.99851805,0.0029075686,4096,0,292.44025,381.14648,1177.37,860.87,0.9996082,0.9983766
2500.6025899018728,0.99392897,0.0029075686,183332,1.0053555,0.99392897,0.0029075686,4096,0,292.44113,381.14578,1322.46,710.66,0.9974846,0.99064237
2500.6095350292167,0.9989665,0.0029075686,183333,1.0105816,0.9989665,0.0029075686,4096,0,292.4417,381.14587,948.67,715.71,0.99920386,0.9989973
2500.6164801565624,0.998954,0.0029075686,183334,1.0107007,0.998954,0.0029075686,4096,0,292.44046,381.1483,828.35,776.47,1.0007032,0.9977468
2500.6234252839063,1.0043977,0.0029075686,183335,1.0163417,1.0043977,0.0029075686,4096,0,292.44116,381.14838,539.56,848.17,1.0017881,1.0082926
2500.6303704112293,1.0054771,0.0029075686,183336,1.0175674,1.0054771,0.0029075686,4096,0,292.43985,381.14996,284.53,709.41,1.0025381,1.007204
2500.63731553853,0.99889535,0.0029075686,183337,1.0110395,0.99889535,0.0029075686,4096,0,292.4418,381.14847,482.3,883.43,1.0005022,0.997686
2500.64426066583,1.0036521,0.0029075686,183338,1.0159875,1.0036521,0.0029075686,4096,0,292.44122,381.15036,148.36,962.42,1.0010301,1.0061747
